acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,totalpay
706,NC,27713,Wells,4862,01017335,1,0.4669,-0.76,111,77,130,6,108
707,MA,02124,Discover,2069,03013516,3,0.3720,-0.99,114,6,27,6,1065
708,KS,66801,Discover,3026,01016200,1,0.7276,-0.32,110,40,92,2,3875
709,IA,50220,Associates,4155,05012929,5,0.1472,-1.92,116,29,100,1,2000
710,NJ,07307,Bank_Of_Am,4642,04013096,4,0.2135,-1.54,139,71,50,2,139
711,NY,12571,Chase_Rev,1671,02014511,2,0.9865,-0.01,97,33,4,1,500
712,WA,98011,Bank_Of_Am,1499,05012857,5,0.6533,-0.43,135,64,40,1,840
713,CA,95901,Wells,1648,01019471,1,0.8038,-0.22,88,34,44,3,1008
714,CA,92071,Wells,2107,01016693,1,0.0411,-3.19,136,55,164,5,370
715,FL,32825,Wells,1601,02013822,2,0.8210,-0.2,118,34,155,3,340
716,IL,60516,Discover,5561,07012497,7,0.1789,-1.72,127,57,128,1,100
717,OH,44105,Discover,1575,08000000,8,0.8052,-0.22,122,30,43,6,700
718,FL,33056,Bank_Of_Am,6345,08012343,8,0.7907,-0.23,101,46,20,4,625
719,AZ,86047,Wells,1989,03013364,3,0.5180,-0.66,113,94,78,8,582
720,MO,63136,Discover,3326,05012769,5,0.2460,-1.4,125,95,52,1,782
721,IL,60901,Discover,5903,01019299,1,0.8066,-0.21,132,15,37,4,1870
722,FL,32413,Discover,2880,04013214,4,0.0641,-2.75,140,1,212,3,150
723,TX,77089,Chase,2602,09011921,9,0.7788,-0.25,87,27,54,2,810
724,LA,70538,Discover,5404,05012785,5,0.4595,-0.78,129,10,88,4,4680
725,CA,90305,Bank_Of_Am,2656,02013693,2,0.7904,-0.24,102,65,76,6,1380
726,HI,96746,Bank_Of_Am,920,03013353,3,0.3134,-1.16,132,53,215,3,1183
727,TX,79721,Associates,8381,10010876,10,0.8313,-0.18,134,3,53,5,1214
728,SC,29468,Associates,1931,02013914,2,0.4998,-0.69,121,79,32,3,890
729,TX,75211,Chase,2153,09012028,9,0.8877,-0.12,137,54,129,2,300
730,NC,27407,Discover,1879,02014755,2,0.8945,-0.11,118,67,184,5,1290
731,PA,19147,Associates,5611,01015024,1,0.1057,-2.25,132,26,43,6,1900
732,CA,95123,Bank_Of_Am,2044,04013242,4,0.5607,-0.58,103,17,339,1,410
733,NY,10977,Chase_Rev,1520,02014248,2,0.7703,-0.26,133,51,50,1,67
734,IL,60646,Discover,9950,03013490,3,0.2200,-1.51,143,99,16,2,500
735,FL,33174,Associates,1589,02013856,2,0.3285,-1.11,136,56,7,1,96
736,FL,32701,Bank_Of_Am,2847,04013145,4,0.9433,-0.06,135,18,37,2,679
737,CA,90065,Wells,2331,05012820,5,0.7175,-0.33,142,40,10,3,1050
738,OH,45177,Discover,1904,04013095,4,0.5159,-0.66,136,23,89,12,1955
739,CA,93110,Bank_Of_Am,819,05012889,5,0.7560,-0.28,111,76,120,1,401
740,AZ,85650,Discover,3454,02014672,2,0.5595,-0.58,122,53,74,1,1014
741,CA,90606,Bank_Of_Am,3619,01016754,1,0.6675,-0.4,122,54,94,3,240
742,MS,38843,Discover,3412,07012373,7,0.2829,-1.26,95,5,97,2,1896
743,CA,92393,Discover,5974,10011748,10,0.4085,-0.9,130,36,1,1,350
744,CA,94521,Bank_Of_Am,1107,06012586,6,0.7312,-0.31,88,47,15,5,498
745,NY,14131,Chase_Rev,3881,02013742,2,0.1931,-1.64,123,39,113,6,1185
746,TX,77642,Discover,3502,09012110,9,0.9327,-0.07,138,45,96,1,76
747,GA,30188,Associates,391,08000000,8,0.2164,-1.53,145,44,163,3,8
748,NJ,07014,Discover,2121,02013822,2,0.8501,-0.16,98,48,26,1,2444
749,FL,33539,Discover,1660,01015637,1,0.9349,-0.07,143,34,205,6,190
750,TN,37122,Discover,10185,08012217,8,0.4094,-0.89,117,41,11,5,415
751,FL,33023,Discover,2274,03013344,3,0.3984,-0.92,132,4,54,3,352
752,FL,33839,Associates,1811,05012849,5,0.1761,-1.74,119,1,66,5,600
753,MO,63106,Associates,1138,08000000,8,0.9832,-0.02,119,51,82,11,40
754,CA,92585,Bank_Of_Am,4716,04013115,4,0.8982,-0.11,115,39,322,1,1750
755,SD,57006,Discover,1394,08012246,8,0.8855,-0.12,129,94,68,3,60
756,FL,32505,Chase,2605,03013384,3,0.3121,-1.16,96,72,116,1,1220
757,WA,98027,Bank_Of_Am,4418,03013357,3,0.9073,-0.1,132,46,77,2,4821
758,CA,94605,Discover,1801,05012995,5,0.0268,-3.62,125,86,8,4,200
759,CT,06830,Bank_Of_Am,3797,05012786,5,0.3738,-0.98,114,52,178,6,480
760,NC,27262,Discover,2065,01015855,1,0.9823,-0.02,147,32,179,1,1050
761,OK,73843,Associates,1730,03013517,3,0.4568,-0.78,117,74,56,1,670
762,KS,67212,Bank_Of_Am,6163,07012510,7,0.1964,-1.63,123,12,55,1,2455
763,CA,92173,Wells,1460,07012548,7,0.0815,-2.51,133,93,12,1,50
764,MO,64111,Discover,1877,02014200,2,0.6680,-0.4,123,9,74,1,935
765,GA,31034,Discover,2410,02925176,2,0.3101,-1.17,127,5,60,4,1620
766,WA,98133,Bank_Of_Am,1206,05012866,5,0.8588,-0.15,142,80,15,2,900
767,TX,75243,Chase_Rev,1663,08012344,8,0.2190,-1.52,113,95,21,1,500
768,GA,30117,Associates,865,08000000,8,0.5285,-0.64,143,97,49,3,55
769,HI,96706,Discover,2715,04013076,4,0.7952,-0.23,134,30,98,3,2364
770,CA,92139,Wells,2702,04013196,4,0.6266,-0.47,98,94,61,4,220
771,IN,46041,Associates,1273,06012744,6,0.0613,-2.79,126,34,285,2,25
772,PA,19365,Chase,4528,03013642,3,0.7980,-0.23,106,59,81,1,690
773,IL,61755,Associates,1961,02014010,2,0.5219,-0.65,142,46,109,2,805
774,OK,73052,Associates,1506,05012934,5,0.3232,-1.13,94,86,84,8,248
775,CA,90270,Discover,1821,04013290,4,0.8861,-0.12,128,60,96,1,38
776,PA,17560,Discover,5588,01015591,1,0.0817,-2.5,124,58,10,4,825
777,CA,91746,Wells,2280,04013254,4,0.8133,-0.21,72,43,35,4,343
778,NY,12603,Associates,1940,02013688,2,0.6233,-0.47,140,7,45,1,838
779,NV,89801,Chase,573,08012352,8,0.7589,-0.28,107,16,41,11,30
780,OH,44106,Chase,1479,04013019,4,0.8096,-0.21,143,83,96,3,650
781,TN,37774,Associates,5571,06012591,6,0.2974,-1.21,128,46,52,1,766
782,CA,93555,Bank_Of_Am,4929,09011988,9,0.1362,-1.99,143,48,205,1,163
783,LA,70665,Chase,4032,08000000,8,0.7153,-0.34,129,29,2,1,20
784,OH,44240,Discover,4311,05012794,5,0.9482,-0.05,78,56,5,1,2702
785,TX,78209,Associates,4316,01018816,1,0.7632,-0.27,123,29,99,1,208
786,AZ,86442,Wells_FIB,6270,03013496,3,0.8151,-0.2,114,20,10,4,75
787,MI,48423,Chase,3004,04013017,4,0.0373,-3.29,134,23,133,5,270
788,CA,94124,Wells,3603,01019278,1,0.8582,-0.15,126,82,106,2,358
789,CT,06002,Chase_Rev,2115,02013735,2,0.8420,-0.17,114,37,378,2,975
790,CA,90009,Bank_Of_Am,502,09012046,9,0.6754,-0.39,129,75,2,1,821
791,WI,53226,Bank_Of_Am,6348,03013374,3,0.4589,-0.78,124,62,13,1,1443
792,CA,94565,Wells,1434,09011900,9,0.1689,-1.78,131,64,173,7,160
793,OH,44101,Chase,5833,07012463,7,0.3929,-0.93,114,89,26,5,225
794,MS,39069,Associates,2274,08012260,8,0.3680,-1,96,68,94,1,25
795,MI,48210,Discover,796,05012890,5,0.3598,-1.02,121,70,58,2,27
796,AZ,85937,Chase,9218,10011248,10,0.1900,-1.66,90,39,302,2,208
797,WA,98110,Wells,7709,01018965,1,0.7031,-0.35,105,45,24,7,2941
798,CT,06492,Discover,3507,01016998,1,0.7897,-0.24,104,32,83,1,1454
799,CA,91331,Wells,2335,04013078,4,0.2405,-1.42,115,69,74,1,1708
800,MA,01040,Discover,5725,06012601,6,0.7190,-0.33,119,97,1,1,400
801,OR,97201,Wells,1113,01015436,1,0.8067,-0.21,103,35,76,1,175
802,TX,76542,Wells,2981,01018509,1,0.3152,-1.15,136,97,10,6,2053
803,CA,92082,Wells,1153,06012649,6,0.7823,-0.25,133,89,7,2,450
804,TN,37209,Chase,2158,02013957,2,0.5935,-0.52,136,52,28,17,847
805,OH,45331,Associates,1400,05012958,5,0.6841,-0.38,121,33,105,2,719
806,NJ,07874,Associates,1609,04013247,4,0.3203,-1.14,140,43,71,1,900
807,FL,32976,Associates,6733,01016117,1,0.6746,-0.39,128,64,27,4,700
808,CA,90044,Wells_FIB,4167,06012620,6,0.9614,-0.04,139,35,59,7,136
809,FL,34698,Associates,6642,07012546,7,0.2535,-1.37,137,77,214,3,398
810,NY,14224,Wells,2242,02013810,2,0.1998,-1.61,112,3,2,1,300
811,MO,65809,Discover,1451,08000000,8,0.5358,-0.62,133,89,1,1,461
812,CA,93033,Wells,1011,08000000,8,0.1506,-1.89,91,36,97,2,41
813,GA,30021,Discover,5783,10011609,10,0.1661,-1.8,143,69,1,1,104
814,MS,39576,Chase,3778,03923771,3,0.6279,-0.47,125,66,168,23,125
815,LA,70811,Chase_Rev,7443,06012709,6,0.6757,-0.39,131,11,41,9,100
816,TX,75783,Discover,9424,10011065,10,0.2980,-1.21,119,93,93,2,144
817,CA,90277,Bank_Of_Am,3782,01015988,1,0.0635,-2.76,105,13,25,6,300
818,WY,82423,Chase_Bony,3982,05012918,5,0.4044,-0.91,114,50,53,1,1413
819,FL,32725,Chase_Rev,7976,05922771,5,0.1166,-2.15,129,34,5,2,2650
820,NY,11360,Discover,9398,02014421,2,0.6732,-0.4,135,94,73,2,665
821,PA,18951,Bank_Of_Am,2925,02014134,2,0.0016,-6.46,94,12,91,1,1438
822,CA,90608,Wells,1273,07012472,7,0.8918,-0.11,112,16,117,1,124
823,TX,78026,Wells,3666,07921825,7,0.4437,-0.81,138,90,1,1,160
824,OH,44120,Discover,1138,03013338,3,0.6250,-0.47,133,16,142,4,100
825,TN,38313,Discover,3742,06012584,6,0.5046,-0.68,107,11,5,3,2551
826,GA,31738,Bank_Of_Am,4710,01015281,1,0.9555,-0.05,110,88,84,10,876
827,TX,76354,Discover,1838,09011924,9,0.7198,-0.33,82,33,90,7,80
828,CA,94930,Wells,2154,02014658,2,0.2348,-1.45,119,81,67,6,270
829,FL,33634,Chase,3947,06012687,6,0.4617,-0.77,134,22,88,2,2628
830,CA,93263,Wells,3610,01017981,1,0.1288,-2.05,142,92,45,3,1753
831,TX,78666,Discover,1864,02013811,2,0.4041,-0.91,119,55,32,3,75
832,IL,60439,Associates,611,02013772,2,0.7775,-0.25,89,16,106,1,44
833,CA,94590,Wells,2359,09012120,9,0.4045,-0.91,96,64,2,1,200
834,NV,89433,Bank_Of_Am,3203,01015165,1,0.3495,-1.05,123,87,107,2,1072
835,IL,60015,Bank_Of_Am,5201,09011936,9,0.0037,-5.61,142,23,1,1,250
836,CA,92832,Wells,1971,05012844,5,0.1705,-1.77,133,52,72,8,1279
837,FL,32810,Chase,3111,02013908,2,0.0394,-3.23,106,10,38,11,1053
838,LA,70769,Wells,2449,03013456,3,0.2807,-1.27,110,77,74,1,165
839,MO,65483,Associates,3819,09012088,9,0.1069,-2.24,116,23,25,2,120
840,DC,20032,Discover,1958,07012385,7,0.0323,-3.43,143,74,120,6,25
841,TX,76505,Chase_Rev,3394,09011992,9,0.5289,-0.64,114,46,11,2,510
842,NC,27713,Discover,3339,02014049,2,0.3937,-0.93,99,87,37,1,4315
843,KY,42256,Chase,5475,04013061,4,0.5731,-0.56,131,78,92,2,1780
844,OH,44708,Discover,2274,05012831,5,0.3098,-1.17,110,16,52,1,75
845,KY,41016,Chase,5864,09012138,9,0.3508,-1.05,112,17,336,2,603
846,CA,90260,Wells,1163,05012994,5,0.7734,-0.26,102,45,6,1,800
847,CA,95062,Bank_Of_Am,2808,07012399,7,0.8045,-0.22,105,14,76,2,25
848,IN,46528,Discover,3880,06012675,6,0.9771,-0.02,103,30,171,10,150
849,NE,68602,Associates,3899,07012388,7,0.9682,-0.03,146,71,3,1,365
850,TN,37162,Chase,885,04013114,4,0.0634,-2.76,117,36,9,1,870
851,TN,37924,Associates,4002,05012906,5,0.7301,-0.31,132,78,73,1,1485
852,VA,23669,Discover,1901,01926653,1,0.6723,-0.4,131,50,86,4,667
853,PA,19132,Wells,2920,01019591,1,0.0065,-5.04,117,11,151,5,817
854,CA,94115,Bank_Of_Am,973,01015526,1,0.0301,-3.5,124,85,127,5,1137
855,TX,79416,Chase,1590,06012739,6,0.5775,-0.55,132,33,98,3,174
856,CA,91354,Wells,1436,06922535,6,0.7096,-0.34,147,20,264,5,100
857,AR,72301,Discover,1854,04923386,4,0.1928,-1.65,139,93,84,1,83
858,MI,48021,Wells,3044,02014186,2,0.8313,-0.18,122,10,55,5,1950
859,GA,30284,Discover,9104,06012726,6,0.8867,-0.12,109,81,110,4,200
860,MS,39501,Discover,1578,05922994,5,0.7300,-0.31,119,48,67,1,332
861,RI,02862,Chase,5433,06012695,6,0.2842,-1.26,117,69,58,1,100
862,SD,57718,Discover,7199,09012016,9,0.6916,-0.37,103,33,18,3,137
863,CO,81416,Bank_Of_Am,5826,01019037,1,0.5963,-0.52,106,3,195,2,30
864,FL,33009,Wells,2166,03013577,3,0.9548,-0.05,140,75,91,2,50
865,TX,76234,Chase,2348,10011737,10,0.3328,-1.1,92,48,90,10,50
866,TN,37334,Chase_Rev,4216,05012787,5,0.9257,-0.08,117,19,41,1,2172
867,FL,33675,Chase_Rev,3062,04013172,4,0.4520,-0.79,122,89,108,1,2006
868,AR,72063,Bank_Of_Am,1846,01016483,1,0.8977,-0.11,121,8,76,1,235
869,CA,90221,Wells,2120,04013104,4,0.6183,-0.48,118,46,45,1,880
870,IA,50845,Chase,7521,08000000,8,0.6932,-0.37,124,40,100,3,100
871,TX,76255,Wells,3271,08012231,8,0.7960,-0.23,119,54,92,6,373
872,TX,75232,Wells,1645,08012350,8,0.0384,-3.26,136,72,54,3,419
873,CA,94301,Wells,1287,06012767,6,0.1331,-2.02,111,1,74,1,203
874,CA,92115,Discover,2201,02013853,2,0.3848,-0.96,119,17,58,7,960
875,TN,37862,Discover,3998,01016119,1,0.7957,-0.23,130,92,58,2,1959
876,CA,94928,Bank_Of_Am,4918,02014636,2,0.8042,-0.22,127,85,15,3,3394
877,LA,70549,Discover,9403,02925526,2,0.2886,-1.24,127,8,17,8,2730
878,PA,18229,Chase_Rev,5472,07012514,7,0.3185,-1.14,113,60,116,2,959
879,CA,92114,Wells,1382,07921858,7,0.9599,-0.04,91,76,50,7,736
880,NJ,08034,Associates,4473,02013958,2,0.0944,-2.36,114,71,47,6,1655
881,NH,03836,Discover,2813,07012358,7,0.2606,-1.34,100,53,33,1,900
882,MI,49024,Associates,6321,01015896,1,0.8599,-0.15,146,73,158,1,5779
883,CA,90631,Bank_Of_Am,2395,05012790,5,0.0452,-3.1,134,85,13,4,750
884,MA,02368,Associates,3373,05012851,5,0.2288,-1.48,122,24,52,2,357
885,OH,44515,Discover,4300,02014595,2,0.3262,-1.12,138,57,216,1,1850
886,NC,27858,Discover,2339,01017641,1,0.9757,-0.02,116,84,44,3,1103
887,GA,31775,Wells,3312,01014838,1,0.4093,-0.89,141,3,50,13,150
888,CA,92845,Wells,1214,01014982,1,0.0212,-3.85,106,91,24,5,1439
889,AL,35209,Discover,9374,09011935,9,0.8934,-0.11,126,7,4,1,2200
890,NC,27106,Bank_Of_Am,2616,01017933,1,0.7014,-0.35,138,96,199,2,1500
891,CA,91604,Wells,1225,06922482,6,0.2775,-1.28,125,6,16,4,1358
892,TX,77036,Bank_Of_Am,2411,09011906,9,0.2798,-1.27,116,35,86,1,231
893,TX,78566,Discover,2050,10011559,10,0.7590,-0.28,142,21,23,3,509
894,NC,27405,Discover,1933,02013845,2,0.5885,-0.53,105,57,3,2,540
895,NJ,07004,Wells,1675,02013877,2,0.2511,-1.38,115,37,24,1,2428
896,PA,16801,Chase_Rev,2045,03013533,3,0.6835,-0.38,90,1,65,7,25
897,PA,19036,Discover,6206,05922976,5,0.7418,-0.3,135,85,122,2,2070
898,CA,95361,Bank_Of_Am,3267,01019074,1,0.6245,-0.47,105,61,1,1,2437
899,TN,38127,Discover,2868,02014249,2,0.9978,0,129,49,64,8,1500
900,CA,90011,Associates,5794,09012121,9,0.0029,-5.83,84,85,91,1,758
901,NY,14214,Bank_Of_Am,5645,01015080,1,0.6969,-0.36,125,21,55,8,490
902,OR,97701,Wells,1161,04013156,4,0.8994,-0.11,125,11,72,6,490
903,CA,95131,Wells_FIB,5679,08012156,8,0.3746,-0.98,115,31,51,1,6634
904,PA,16602,Chase_Rev,1005,04013167,4,0.0287,-3.55,124,89,171,5,25
905,NY,10463,Associates,1833,03013430,3,0.9640,-0.04,141,19,60,1,1962
906,GA,31794,Discover,553,05012878,5,0.1869,-1.68,143,57,152,2,30
907,CA,95828,Associates,3491,07012414,7,0.8559,-0.16,98,86,74,1,70
908,WA,98032,Discover,7701,07012435,7,0.3830,-0.96,137,51,66,1,980
909,MO,65803,Discover,5798,06012579,6,0.0089,-4.73,119,7,66,2,1155
910,TN,37412,Discover,2944,05012864,5,0.0190,-3.97,109,99,118,1,1916
911,CA,91106,Wells,1402,07012373,7,0.3207,-1.14,122,10,23,3,1040
912,CA,92336,Bank_Of_Am,2067,05012972,5,0.9708,-0.03,140,73,42,2,1250
913,IN,46016,Wells,2793,01016832,1,0.1076,-2.23,110,80,9,6,216
914,MA,01852,Discover,2137,01015676,1,0.9809,-0.02,140,88,126,4,370
915,AL,35218,Discover,2756,01019614,1,0.2292,-1.47,106,55,27,1,1330
916,FL,33054,Associates,4043,02013706,2,0.6511,-0.43,143,76,133,2,200
917,WA,98501,Bank_Of_Am,1180,07012427,7,0.3623,-1.02,70,84,32,2,815
918,CA,92117,Bank_Of_Am,3916,07012402,7,0.7173,-0.33,117,35,12,3,150
919,OH,45245,Discover,5068,02014516,2,0.6330,-0.46,134,98,38,1,430
920,GA,30021,Chase,1808,02013860,2,0.4581,-0.78,140,94,25,1,80
921,TX,78840,Wells,2576,09011900,9,0.9632,-0.04,134,34,89,2,475
922,NY,11738,Chase_Bony,480,02014253,2,0.7899,-0.24,137,78,37,4,572
923,SC,29732,Discover,6041,03013294,3,0.5831,-0.54,122,42,39,1,2600
924,TX,77459,Chase,1401,08012195,8,0.9502,-0.05,132,4,26,14,87
925,MI,48212,Wells,1297,02013788,2,0.4213,-0.86,120,44,228,2,202
926,OH,43567,Discover,6917,06012620,6,0.5480,-0.6,124,81,49,3,3388
927,CO,80015,Bank_Of_Am,2174,04013099,4,0.0243,-3.72,115,81,8,2,825
928,TX,75216,Wells,4478,01018775,1,0.0203,-3.9,91,81,100,3,388
929,CA,92399,Wells,6026,09012134,9,0.9716,-0.03,110,34,19,1,125
930,MT,59803,Associates,3177,10011597,10,0.9889,-0.01,137,72,5,1,50
931,AZ,85749,Bank_Of_Am,10044,01015149,1,0.1095,-2.21,126,27,16,2,75
932,ME,04106,Bank_Of_Am,1471,03013632,3,0.3623,-1.02,119,49,20,2,745
933,CA,95205,Wells,1249,06012612,6,0.2232,-1.5,94,41,25,2,125
934,FL,33065,Discover,7597,05012931,5,0.5198,-0.65,115,59,88,5,310
935,PA,16146,Discover,1231,04013256,4,0.3663,-1,137,12,134,5,30
936,TX,75287,Discover,2892,10011642,10,0.4528,-0.79,124,89,6,1,914
937,OH,43822,Discover,3699,06012639,6,0.7011,-0.36,131,7,291,6,810
938,CA,92115,Wells,1123,04013091,4,0.1255,-2.08,112,41,51,6,630
939,CA,90007,Wells,4573,01019163,1,0.5411,-0.61,143,95,17,11,445
940,CA,92551,Wells,2064,01015625,1,0.6102,-0.49,101,91,101,4,460
941,FL,33844,Discover,5589,02013960,2,0.0708,-2.65,116,75,113,1,325
942,CA,92051,Bank_Of_Am,617,06012636,6,0.5263,-0.64,136,36,47,11,90
943,CA,93307,Discover,3660,01015312,1,0.6671,-0.4,140,20,82,1,2078
944,IL,60053,Chase_Rev,3413,05012840,5,0.1162,-2.15,111,90,70,4,3763
945,LA,70122,Chase,2548,04013112,4,0.5192,-0.66,128,12,35,1,512
946,KY,40229,Chase_Rev,2701,03013434,3,0.3973,-0.92,134,80,137,2,25
947,FL,33416,Discover,11455,09011954,9,0.5145,-0.66,140,20,13,2,281
948,CT,06512,Chase,8490,04013145,4,0.7893,-0.24,140,81,78,8,1600
949,PA,15924,Chase_Rev,3888,05012912,5,0.8667,-0.14,128,20,1,1,53
950,NY,10466,Discover,748,01019592,1,0.8643,-0.15,144,15,169,1,62
951,AZ,85233,Wells,1336,03013657,3,0.5743,-0.55,109,31,158,4,162
952,TX,78355,Associates,6398,02013710,2,0.9380,-0.06,119,42,66,2,60
953,FL,33055,Chase,1998,03013538,3,0.9821,-0.02,127,61,43,1,480
954,CA,91103,Discover,2425,01015916,1,0.4854,-0.72,123,40,67,1,100
955,CA,93930,Bank_Of_Am,5514,05012812,5,0.4645,-0.77,115,92,78,2,2960
956,MA,02745,Discover,3011,01016987,1,0.5939,-0.52,103,17,15,1,125
957,MO,65559,Discover,5787,07012442,7,0.4558,-0.79,116,2,30,1,300
958,MA,02021,Discover,3594,02924465,2,0.1953,-1.63,93,93,24,2,100
959,NC,27516,Discover,3311,01927241,1,0.6289,-0.46,120,26,15,5,1068
960,OR,97527,Bank_Of_Am,3843,01016532,1,0.5324,-0.63,111,56,159,13,348
961,FL,33584,Associates,1814,04013206,4,0.3962,-0.93,117,36,45,2,468
962,TX,77459,Wells_FIB,4277,10011617,10,0.7200,-0.33,138,68,31,1,640
963,WA,99362,Bank_Of_Am,9469,01018819,1,0.6773,-0.39,141,85,31,11,1885
964,AR,71638,Associates,4913,01016052,1,0.3360,-1.09,135,27,49,16,790
965,TX,77385,Discover,3705,10011211,10,0.9340,-0.07,122,79,143,1,25
966,FL,33161,Associates,4917,02014620,2,0.1407,-1.96,114,5,164,3,300
967,RI,02878,Bank_Of_Am,4130,01018307,1,0.7290,-0.32,128,23,144,4,1251
968,CA,90633,Bank_Of_Am,3638,09012048,9,0.1574,-1.85,128,48,39,1,174
969,TX,76129,Wells,1335,07012535,7,0.5601,-0.58,112,70,108,1,746
970,TN,38233,Chase,4147,06012637,6,0.9347,-0.07,141,25,57,3,80
971,CA,90266,Bank_Of_Am,558,07012495,7,0.5981,-0.51,87,82,69,1,1162
972,TX,79602,Discover,3097,10011453,10,0.2136,-1.54,124,75,88,1,75
973,CT,06360,Bank_Of_Am,2937,06012698,6,0.1118,-2.19,115,68,13,4,3107
974,MT,59102,Wells,2457,04923436,4,0.2573,-1.36,104,36,60,2,689
975,AZ,85208,Bank_Of_Am,4172,09011886,9,0.3472,-1.06,109,18,16,3,250
976,CA,92316,Wells,9284,08012274,8,0.2669,-1.32,124,13,115,4,106
977,TX,76010,Bank_Of_Am,1710,08012142,8,0.9820,-0.02,145,60,53,1,54
978,NY,10312,Discover,1833,02013883,2,0.1581,-1.84,100,89,73,2,4248
979,AZ,85631,Wells,2148,05012772,5,0.6985,-0.36,119,76,46,1,1116
980,AL,36610,Bank_Of_Am,5684,02014608,2,0.7608,-0.27,118,11,54,1,353
981,HI,96792,Wells,2438,03013369,3,0.8208,-0.2,126,71,53,2,505
982,NC,27713,Associates,2734,01018558,1,0.8906,-0.12,97,8,91,1,116
983,OH,44103,Bank_Of_Am,4915,06012688,6,0.6064,-0.5,121,60,179,5,858
984,CA,91911,Chase,3481,06012674,6,0.0346,-3.37,104,65,15,1,347
985,IL,60104,Discover,1008,01015909,1,0.6863,-0.38,130,34,100,1,910
986,MI,49503,Discover,6329,08012350,8,0.9865,-0.01,135,87,295,2,2500
987,FL,33142,Associates,1973,03013439,3,0.5535,-0.59,121,11,13,2,66
988,NY,11418,Chase,3040,05013003,5,0.5025,-0.69,116,91,18,2,800
989,TX,77042,Chase_Rev,3393,10011628,10,0.8385,-0.18,136,42,58,3,1144
990,CA,90042,Bank_Of_Am,1289,01018842,1,0.1653,-1.8,113,41,97,2,640
991,IN,46384,Associates,4662,01015750,1,0.5496,-0.6,133,2,111,1,542
992,KY,40475,Discover,2390,06012570,6,0.1622,-1.82,145,44,32,2,876
993,TX,75060,Bank_Of_Am,460,05012894,5,0.5380,-0.62,117,6,2,1,100
994,NV,89121,Associates,2871,10011332,10,0.7436,-0.3,143,63,40,1,250
995,CA,95993,Wells,1906,01017947,1,0.8619,-0.15,107,22,4,2,710
996,CA,90731,Wells,1476,07012422,7,0.6141,-0.49,105,71,57,3,120
997,TX,77478,Wells,815,05012890,5,0.7964,-0.23,121,17,54,1,750
998,LA,70067,Discover,3578,01016242,1,0.2253,-1.49,134,87,91,1,1440
999,NC,28119,Wells,3403,01017424,1,0.6681,-0.4,112,61,120,5,460
1000,AZ,85710,Bank_Of_Am,1715,04013270,4,0.0803,-2.52,140,58,136,1,310
1001,CA,92234,Chase_Rev,9783,09011974,9,0.6114,-0.49,144,93,4,1,325
1002,PA,17801,Associates,3048,01016381,1,0.2656,-1.33,129,75,186,7,25
1003,NY,11413,Chase_Rev,1048,03013306,3,0.8019,-0.22,110,66,73,5,210
1004,CA,93441,Wells,1563,01015182,1,0.9122,-0.09,141,73,85,4,510
1005,CA,93103,Bank_Of_Am,1435,08012252,8,0.2435,-1.41,124,35,31,2,361
1006,OH,43420,Discover,3862,05012852,5,0.6406,-0.45,124,55,35,1,2869
1007,CA,94103,Wells,8762,09012107,9,0.6470,-0.44,148,80,90,1,1290
1008,CA,91342,Wells,3061,07012408,7,0.8836,-0.12,122,13,19,4,910
1009,AZ,85716,Wells,2341,05012784,5,0.0723,-2.63,148,28,36,5,950
1010,TN,38106,Associates,1832,03013304,3,0.4955,-0.7,116,49,95,2,126
1011,MA,02453,Discover,2745,02014455,2,0.9788,-0.02,131,18,33,1,2963
1012,LA,70811,Discover,3852,01015027,1,0.1162,-2.15,135,85,17,4,1225
1013,CA,94124,Bank_Of_Am,1474,07012530,7,0.5018,-0.69,136,1,110,3,199
1014,NY,10562,Discover,1771,02013887,2,0.0128,-4.36,116,53,201,1,80
1015,FL,32131,Chase_Rev,5160,02014311,2,0.6640,-0.41,143,65,127,3,105
1016,IL,60515,Discover,3496,05012792,5,0.2615,-1.34,116,77,45,3,3750
1017,SC,29577,Chase_Rev,2837,02014397,2,0.6067,-0.5,116,12,53,4,121
1018,CA,90019,Bank_Of_Am,1065,07012458,7,0.5868,-0.53,142,16,53,1,208
1019,CA,95336,Wells,1105,06012658,6,0.5654,-0.57,113,63,34,2,25
1020,TX,75801,Associates,4956,10010133,10,0.8049,-0.22,95,69,21,5,1195
1021,CO,80903,Discover,4218,09011945,9,0.7325,-0.31,142,65,56,1,2550
1022,NJ,07017,Chase,1830,03013556,3,0.1625,-1.82,145,13,47,4,1405
1023,IL,60641,Bank_Of_Am,570,01017326,1,0.2653,-1.33,98,12,74,6,250
1024,TX,77099,Bank_Of_Am,7759,10010117,10,0.2870,-1.25,107,33,32,3,2000
1025,MO,65074,Chase,7120,08012281,8,0.7159,-0.33,149,12,33,2,150
1026,NM,87109,Associates,1330,02014153,2,0.0894,-2.41,137,46,23,5,470
1027,FL,34734,Chase_Rev,589,02013995,2,0.6645,-0.41,114,9,40,1,175
1028,WA,98226,Wells,2220,02013788,2,0.1154,-2.16,119,20,308,1,800
1029,CA,94551,Wells,4570,03013557,3,0.2405,-1.43,134,59,49,5,1277
1030,CA,91505,Associates,2447,02013750,2,0.6527,-0.43,104,14,48,1,3756
